ENSMUSG00000102693,4933401J01Rik,2,1070
ENSMUSG00000064842,Gm26206,3,110
ENSMUSG00000051951,Xkr4,6,6094
ENSMUSG00000102851,Gm18956,2,480
ENSMUSG00000103377,Gm37180,2,2819
ENSMUSG00000104017,Gm37363,2,2233
ENSMUSG00000103025,Gm37686,2,2309
ENSMUSG00000089699,Gm1992,2,250
ENSMUSG00000103201,Gm37329,2,2057
ENSMUSG00000103147,Gm7341,2,926
ENSMUSG00000103161,Gm38148,2,3012
ENSMUSG00000102331,Gm19938,2,3259
ENSMUSG00000102348,Gm10568,2,1634
ENSMUSG00000102592,Gm38385,2,2351
ENSMUSG00000088333,Gm27396,4,58
ENSMUSG00000102343,Gm37381,2,1364
ENSMUSG00000025900,Rp1,14,12311
ENSMUSG00000102948,Gm6101,2,1867
ENSMUSG00000104123,Gm37483,2,1484
ENSMUSG00000025902,Sox17,14,4772
ENSMUSG00000104238,Gm37587,2,2917
ENSMUSG00000102269,Gm7357,2,2991
ENSMUSG00000118917,Gm22307,1,107
ENSMUSG00000103003,Gm38076,2,450
ENSMUSG00000104328,Gm37323,2,2773
ENSMUSG00000102735,Gm7369,2,936
ENSMUSG00000098104,Gm6085,2,1470
ENSMUSG00000102175,Gm6119,2,1206
ENSMUSG00002075947,Gm56275,1,103
ENSMUSG00000103265,Gm2053,2,631
ENSMUSG00000103922,Gm6123,2,1069
ENSMUSG00000033845,Mrpl15,14,8487
ENSMUSG00000102275,Gm37144,2,1150
ENSMUSG00000120403,A930006A01Rik,1,1370
ENSMUSG00000025903,Lypla1,15,7145
ENSMUSG00000104217,Gm37988,2,825
ENSMUSG00000033813,Tcea1,16,3017
ENSMUSG00000062588,Gm6104,5,603
ENSMUSG00000103280,Gm37277,2,1111
ENSMUSG00000002459,Rgs20,18,4239
ENSMUSG00000091305,Gm17100,2,272
ENSMUSG00000102653,Gm37079,2,2135
ENSMUSG00000085623,Gm16041,2,3725
ENSMUSG00000091665,Gm17101,2,1588
ENSMUSG00000033793,Atp6v1h,13,9746
ENSMUSG00000104352,Gm7182,2,732
ENSMUSG00000104046,Gm37567,2,2279
ENSMUSG00000102907,Gm38264,2,2032
ENSMUSG00000025905,Oprk1,15,9151
ENSMUSG00000103936,Gm36965,2,394
ENSMUSG00002076544,Gm56304,1,101
ENSMUSG00000103519,Gm37429,2,1799
ENSMUSG00000033774,Npbwr1,5,3692
ENSMUSG00000103090,Gm19214,2,1083
ENSMUSG00000090031,4732440D04Rik,4,6585
ENSMUSG00000025907,Rb1cc1,15,14690
ENSMUSG00000087247,Alkal1,4,971
ENSMUSG00000103355,Gm2147,2,639
ENSMUSG00000102706,Gm7417,2,473
ENSMUSG00000103845,Gm19026,2,4530
ENSMUSG00000033740,St18,18,6464
ENSMUSG00000103329,Gm42492,3,2915
ENSMUSG00000104385,Gm7449,2,663
ENSMUSG00000102135,Gm37108,2,626
ENSMUSG00000103282,Gm37275,2,30
ENSMUSG00000102534,Gm37225,2,325
